Output Areas Code,Output Areas,Observation
E00072563,E00072563,120
E00072564,E00072564,112
E00072565,E00072565,117
E00072566,E00072566,152
E00072567,E00072567,129
E00072568,E00072568,161
E00072569,E00072569,102
E00072570,E00072570,107
E00072571,E00072571,92
E00072572,E00072572,91
E00072573,E00072573,164
E00072574,E00072574,134
E00072575,E00072575,243
E00072576,E00072576,89
E00072577,E00072577,118
E00072578,E00072578,148
E00072579,E00072579,110
E00072580,E00072580,111
E00072581,E00072581,129
E00072582,E00072582,92
E00072583,E00072583,123
E00072584,E00072584,114
E00072585,E00072585,108
E00072586,E00072586,114
E00072587,E00072587,115
E00072588,E00072588,122
E00072589,E00072589,119
E00072590,E00072590,118
E00072591,E00072591,107
E00072592,E00072592,109
E00072593,E00072593,153
E00072594,E00072594,138
E00072595,E00072595,127
E00072596,E00072596,136
E00072597,E00072597,129
E00072598,E00072598,134
E00072599,E00072599,129
E00072600,E00072600,145
E00072601,E00072601,121
E00072602,E00072602,136
E00072603,E00072603,123
E00072604,E00072604,135
E00072605,E00072605,128
E00072606,E00072606,131
E00072607,E00072607,130
E00072608,E00072608,117
E00072609,E00072609,134
E00072611,E00072611,65
E00072613,E00072613,110
E00072614,E00072614,144
E00072615,E00072615,94
E00072616,E00072616,127
E00072617,E00072617,83
E00072618,E00072618,148
E00072619,E00072619,181
E00072620,E00072620,57
E00072621,E00072621,118
E00072622,E00072622,123
E00072623,E00072623,99
E00072624,E00072624,135
E00072625,E00072625,137
E00072626,E00072626,61
E00072627,E00072627,97
E00072628,E00072628,119
E00072629,E00072629,124
E00072630,E00072630,76
E00072631,E00072631,103
E00072632,E00072632,133
E00072633,E00072633,203
E00072634,E00072634,129
E00072635,E00072635,123
E00072636,E00072636,146
E00072637,E00072637,134
E00072638,E00072638,132
E00072640,E00072640,127
E00072641,E00072641,123
E00072642,E00072642,161
E00072643,E00072643,115
E00072644,E00072644,121
E00072645,E00072645,179
E00072646,E00072646,141
E00072647,E00072647,71
E00072648,E00072648,88
E00072649,E00072649,118
E00072650,E00072650,105
E00072651,E00072651,85
E00072652,E00072652,225
E00072653,E00072653,185
E00072654,E00072654,79
E00072655,E00072655,138
E00072656,E00072656,144
E00072657,E00072657,50
E00072658,E00072658,57
E00072659,E00072659,120
E00072660,E00072660,156
E00072661,E00072661,108
E00072662,E00072662,113
E00072663,E00072663,122
E00072664,E00072664,150
E00072665,E00072665,151
E00072666,E00072666,117
E00072667,E00072667,129
E00072668,E00072668,87
E00072669,E00072669,118
E00072671,E00072671,83
E00072672,E00072672,110
E00072673,E00072673,135
E00072674,E00072674,117
E00072675,E00072675,130
E00072676,E00072676,124
E00072677,E00072677,116
E00072678,E00072678,136
E00072680,E00072680,129
E00072681,E00072681,160
E00072682,E00072682,125
E00072683,E00072683,121
E00072684,E00072684,119
E00072685,E00072685,125
E00072686,E00072686,120
E00072687,E00072687,83
E00072688,E00072688,109
E00072689,E00072689,87
E00072690,E00072690,141
E00072691,E00072691,192
E00072692,E00072692,148
E00072693,E00072693,163
E00072694,E00072694,135
E00072695,E00072695,93
E00072696,E00072696,140
E00072697,E00072697,116
E00072698,E00072698,133
E00072699,E00072699,215
E00072700,E00072700,149
E00072701,E00072701,125
E00072702,E00072702,131
E00072703,E00072703,126
E00072704,E00072704,114
E00072705,E00072705,148
E00072706,E00072706,116
E00072707,E00072707,135
E00072708,E00072708,138
E00072709,E00072709,136
E00072710,E00072710,125
E00072711,E00072711,129
E00072712,E00072712,140
E00072713,E00072713,137
E00072714,E00072714,147
E00072715,E00072715,161
E00072716,E00072716,123
E00072717,E00072717,210
E00072718,E00072718,124
E00072719,E00072719,124
E00072720,E00072720,149
E00072721,E00072721,159
E00072722,E00072722,175
E00072723,E00072723,148
E00072725,E00072725,129
E00072726,E00072726,128
E00072727,E00072727,126
E00072728,E00072728,128
E00072729,E00072729,136
E00072730,E00072730,129
E00072731,E00072731,125
E00072732,E00072732,133
E00072733,E00072733,141
E00072734,E00072734,167
E00072736,E00072736,168
E00072737,E00072737,134
E00072738,E00072738,123
E00072739,E00072739,114
E00072741,E00072741,152
E00072742,E00072742,142
E00072743,E00072743,131
E00072744,E00072744,149
E00072745,E00072745,222
E00072746,E00072746,120
E00072747,E00072747,119
E00072748,E00072748,124
E00072749,E00072749,196
E00072750,E00072750,136
E00072751,E00072751,121
E00072752,E00072752,146
E00072753,E00072753,171
E00072755,E00072755,100
E00072756,E00072756,141
E00072757,E00072757,117
E00072758,E00072758,102
E00072759,E00072759,108
E00072760,E00072760,103
E00072761,E00072761,115
E00072762,E00072762,131
E00072763,E00072763,128
E00072764,E00072764,109
E00072765,E00072765,121
E00072766,E00072766,118
E00072767,E00072767,133
E00072768,E00072768,179
E00072769,E00072769,152
E00072770,E00072770,108
E00072771,E00072771,101
E00072772,E00072772,148
E00072773,E00072773,136
E00072774,E00072774,104
E00072775,E00072775,110
E00072776,E00072776,116
E00072777,E00072777,133
E00072778,E00072778,123
E00072779,E00072779,142
E00072780,E00072780,125
E00072781,E00072781,120
E00072782,E00072782,121
E00072783,E00072783,163
E00072784,E00072784,136
E00072785,E00072785,121
E00072786,E00072786,132
E00072787,E00072787,156
E00072788,E00072788,142
E00072789,E00072789,114
E00072790,E00072790,115
E00072791,E00072791,121
E00072792,E00072792,119
E00072793,E00072793,111
E00072794,E00072794,144
E00072795,E00072795,107
E00072797,E00072797,103
E00072798,E00072798,107
E00072799,E00072799,125
E00072800,E00072800,99
E00072801,E00072801,159
E00072802,E00072802,110
E00072803,E00072803,113
E00072804,E00072804,93
E00072805,E00072805,153
E00072806,E00072806,103
E00072807,E00072807,94
E00072808,E00072808,83
E00072809,E00072809,121
E00072810,E00072810,132
E00072811,E00072811,110
E00072812,E00072812,121
E00072813,E00072813,129
E00072814,E00072814,118
E00072815,E00072815,118
E00072816,E00072816,129
E00072817,E00072817,122
E00072818,E00072818,136
E00072819,E00072819,118
E00072820,E00072820,121
E00072821,E00072821,118
E00072822,E00072822,121
E00072823,E00072823,110
E00072824,E00072824,128
E00072825,E00072825,127
E00072826,E00072826,240
E00072827,E00072827,134
E00072828,E00072828,140
E00072829,E00072829,120
E00072830,E00072830,156
E00072831,E00072831,134
E00072832,E00072832,126
E00072833,E00072833,183
E00072834,E00072834,147
E00072835,E00072835,128
E00072836,E00072836,114
E00072837,E00072837,214
E00072838,E00072838,206
E00072839,E00072839,121
E00072840,E00072840,133
E00072841,E00072841,131
E00072842,E00072842,155
E00072844,E00072844,150
E00072845,E00072845,140
E00072846,E00072846,133
E00072847,E00072847,130
E00072848,E00072848,139
E00072849,E00072849,131
E00072850,E00072850,124
E00072851,E00072851,127
E00072852,E00072852,169
E00072853,E00072853,158
E00072854,E00072854,197
E00072855,E00072855,118
E00072856,E00072856,132
E00072857,E00072857,223
E00072858,E00072858,116
E00072859,E00072859,123
E00072860,E00072860,142
E00072861,E00072861,212
E00072862,E00072862,115
E00072864,E00072864,121
E00072865,E00072865,166
E00072866,E00072866,132
E00072867,E00072867,153
E00072868,E00072868,141
E00072869,E00072869,135
E00072870,E00072870,137
E00072871,E00072871,145
E00072872,E00072872,130
E00072873,E00072873,123
E00072874,E00072874,109
E00072875,E00072875,114
E00072876,E00072876,132
E00072877,E00072877,114
E00072878,E00072878,105
