Year,Lower Super Output Area,Output Area Number,Distribution Substation,Distribution Substation Number,Long,Lat
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.372376816,51.40522209
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.37180132,51.40607271
23,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.37245043,51.40632346
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.371494001,51.40658847
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.371381738,51.40670078
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.371877329,51.40666305
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.371694532,51.40681702
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.372020424,51.40547586
17,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.371337926,51.40592681
14,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.372604411,51.40499707
23,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.373414702,51.40457721
23,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.374399558,51.4057901
23,Lansdown LSOA,E00189496,Admiralty Ensleigh,160027,-2.374218386,51.40601851
17,Bearflat LSOA,E00072818,Alexandra Park,160146,-2.362695313,51.37214079
23,Bearflat LSOA,E00072818,Alexandra Park,160146,-2.364477153,51.37262911
11,Bearflat LSOA,E00072829,Alexandra Park,160146,-2.362689179,51.37320076
14,Bearflat LSOA,E00072829,Alexandra Park,160146,-2.362326738,51.37323978
10,Bearflat LSOA,E00072829,Alexandra Park,160146,-2.361012822,51.37453378
23,Prior Park LSOA,E00073142,Alexandra Park,160146,-2.35959393,51.3723841
13,Camden Crescent LSOA,E00072808,Alpine Gardens,160382,-2.360279901,51.39004463
17,Newbridge LSOA,E00072880,Apsley Road,160001,-2.398040151,51.3880336
23,Newbridge LSOA,E00072880,Apsley Road,160001,-2.397918707,51.38663322
20,Newbridge LSOA,E00072880,Apsley Road,160001,-2.398439477,51.38631017
11,Newbridge LSOA,E00072880,Apsley Road North Ba,160242,-2.394904071,51.3895777
21,Newbridge LSOA,E00072880,Apsley Road North Ba,160242,-2.394928175,51.38986952
23,Newbridge LSOA,E00072880,Apsley Road North Ba,160242,-2.394945633,51.39009341
12,Newbridge LSOA,E00072880,Apsley Road North Ba,160242,-2.393088239,51.38841666
21,Newbridge LSOA,E00072880,Apsley Road North Ba,160242,-2.396534971,51.38753803
17,RUH LSOA,E00072882,Apsley Road North Ba,160242,-2.395278705,51.38680033
18,Lower Weston LSOA,E00072766,Audley Avenue,160163,-2.38089073,51.3865429
17,Lower Weston LSOA,E00072767,Audley Avenue,160163,-2.382378485,51.38509311
23,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.382684342,51.38860944
23,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.382948239,51.38883
23,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.383170292,51.38895248
17,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.383431948,51.38928941
12,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.384600936,51.38898338
13,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.385102639,51.38923454
17,Lower Weston LSOA,E00072760,Badminton Gdns,160011,-2.385296647,51.38875063
20,Lower Weston LSOA,E00072765,Badminton Gdns,160011,-2.382918335,51.38719589
17,Lower Weston LSOA,E00072765,Badminton Gdns,160011,-2.382670131,51.38746032
23,Lower Weston LSOA,E00072765,Badminton Gdns,160011,-2.382239266,51.38854538
17,Lower Weston LSOA,E00072765,Badminton Gdns,160011,-2.382240407,51.38864039
23,Lambridge LSOA,E00072779,Bailbrook,160002,-2.331170452,51.40128657
13,Lambridge LSOA,E00072779,Bailbrook,160002,-2.32960984,51.40229735
17,Lambridge LSOA,E00072779,Bailbrook,160002,-2.328375559,51.40342885
23,Lambridge LSOA,E00072780,Bailbrook Buildings,164045,-2.338732058,51.4014077
21,Lambridge LSOA,E00072780,Bailbrook Buildings,164045,-2.339895772,51.40316569
23,Lambridge LSOA,E00072794,Bailbrook Buildings,164045,-2.338108802,51.40334603
12,Lambridge LSOA,E00072794,Bailbrook Buildings,164045,-2.337073115,51.40326458
12,Lambridge LSOA,E00072794,Bailbrook Buildings,164045,-2.337422453,51.40276679
18,Lambridge LSOA,E00072779,Bailbrook House,160121,-2.330715932,51.4013841
23,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.33443265,51.39933068
20,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.334408624,51.39881807
20,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.334644544,51.39877348
20,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.334040249,51.39897561
20,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.333691376,51.39913438
20,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.333334657,51.3992884
20,Lambridge LSOA,E00072783,Bailbrook House,160121,-2.333111783,51.39941723
23,Lambridge LSOA,E00072794,Bailbrook Tunnel,164131,-2.337673606,51.40215571
13,The Circus LSOA,E00072566,Bartlett Street,160003,-2.362399431,51.38558464
17,Great Pulteney LSOA,E00072575,Bath & Portland Off,164066,-2.356560608,51.3786052
23,Entry Hill LSOA,E00072825,Bath Special School Frome Rd,164167,-2.370513978,51.35558541
17,Lambridge LSOA,E00072793,Batheaston Local,160046,-2.338478182,51.3975408
23,Fairfield LSOA,E00072790,Baytree Road,160205,-2.351683437,51.39858622
23,Fairfield LSOA,E00072790,Baytree Road,160205,-2.351011955,51.39875684
13,Fairfield LSOA,E00072791,Baytree Road,160205,-2.351090404,51.39754338
23,Combe Down LSOA,E00072666,Beechwood Rd,160184,-2.347019398,51.3580985
13,Combe Down LSOA,E00072666,Beechwood Rd,160184,-2.344991967,51.35616953
23,Combe Down LSOA,E00072666,Beechwood Rd,160184,-2.346355891,51.35801675
13,Combe Down RFC LSOA,E00072667,Beechwood Rd,160184,-2.347754371,51.35726209
13,Combe Down RFC LSOA,E00072667,Beechwood Road West,162138,-2.349637867,51.35696862
23,Combe Down RFC LSOA,E00072667,Beechwood Road West,162138,-2.349920711,51.35737671
22,Combe Down RFC LSOA,E00072667,Beechwood Road West,162138,-2.350560428,51.35758795
23,Combe Down RFC LSOA,E00072667,Beechwood Road West,162138,-2.348415805,51.35751149
23,Camden West LSOA,E00073054,Belgrave Crescent,160288,-2.358621924,51.39243182
12,Camden West LSOA,E00073057,Belgrave Crescent,160288,-2.358574765,51.39265691
23,Camden West LSOA,E00073057,Belgrave Crescent,160288,-2.357674143,51.39204068
17,Oldfield Park LSOA,E00170253,Bellotts Road,160005,-2.383270188,51.38081956
23,Oldfield Park LSOA,E00170253,Bellotts Road,160005,-2.382948732,51.38107103
20,Oldfield Park LSOA,E00170253,Bellotts Road,160005,-2.3828508,51.38075392
13,Roundhill LSOA,E00073014,Belmore Gardens,164017,-2.391137945,51.36761113
